DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Life Ball,Ball Set,Machine,DrawNumber
20-Jul-2023,47,37,40,31,28,3,SFL2,Excalibur 3,454
17-Jul-2023,29,20,19,37,9,4,SFL1,Excalibur 3,453
13-Jul-2023,9,11,40,7,39,1,SFL3,Excalibur 3,452
10-Jul-2023,23,35,1,47,18,1,SFL3,Excalibur 3,451
06-Jul-2023,1,17,10,42,18,7,SFL2,Excalibur 2,450
03-Jul-2023,10,9,30,39,29,10,SFL2,Excalibur 2,449
29-Jun-2023,39,38,33,18,47,5,SFL1,Excalibur 2,448
26-Jun-2023,30,36,44,33,3,6,SFL1,Excalibur 2,447
22-Jun-2023,10,31,42,43,11,4,SFL3,Excalibur 3,446
19-Jun-2023,7,19,41,21,22,6,SFL3,Excalibur 3,445
15-Jun-2023,13,3,35,46,37,7,SFL2,Excalibur 3,444
12-Jun-2023,24,35,36,16,13,3,SFL2,Excalibur 3,443
08-Jun-2023,37,13,44,17,6,3,SFL1,Excalibur 2,442
05-Jun-2023,5,35,2,21,34,6,SFL1,Excalibur 2,441
01-Jun-2023,11,19,34,44,31,3,SFL9,Excalibur 5,440
29-May-2023,4,45,14,11,41,2,SFL8,Excalibur 5,439
25-May-2023,32,14,37,16,8,4,SFL7,Excalibur 6,438
22-May-2023,26,33,46,17,44,3,SFL7,Excalibur 6,437
18-May-2023,39,43,10,36,32,2,SFL9,Excalibur 6,436
15-May-2023,3,36,33,25,23,1,SFL9,Excalibur 6,435
11-May-2023,22,19,31,16,45,1,SFL8,Excalibur 5,434
08-May-2023,12,7,21,13,26,4,SFL8,Excalibur 5,433
04-May-2023,15,37,13,35,16,10,SFL7,Excalibur 5,432
01-May-2023,24,11,37,22,43,9,SFL7,Excalibur 5,431
27-Apr-2023,38,29,44,11,18,9,SFL9,Excalibur 6,430
24-Apr-2023,43,8,38,4,10,3,SFL9,Excalibur 6,429
20-Apr-2023,10,46,42,28,29,5,SFL8,Excalibur 6,428
17-Apr-2023,23,15,26,44,5,8,SFL8,Excalibur 6,427
13-Apr-2023,45,14,17,7,8,2,SFL7,Excalibur 5,426
10-Apr-2023,26,27,43,5,23,7,SFL6,Excalibur 5,425
06-Apr-2023,43,46,16,41,21,7,SFL5,Excalibur 5,424
03-Apr-2023,39,36,3,6,4,7,SFL4,Excalibur 5,423
30-Mar-2023,24,30,25,33,4,7,SFL6,Excalibur 6,422
27-Mar-2023,44,6,16,20,47,9,SFL6,Excalibur 6,421
23-Mar-2023,27,17,2,26,11,3,SFL5,Excalibur 6,420
20-Mar-2023,35,44,30,24,3,9,SFL5,Excalibur 6,419
16-Mar-2023,31,7,25,40,1,2,SFL4,Excalibur 5,418
13-Mar-2023,17,15,18,33,3,9,SFL4,Excalibur 5,417
09-Mar-2023,9,46,16,27,39,6,SFL6,Excalibur 5,416
06-Mar-2023,45,42,3,24,20,1,SFL6,Excalibur 5,415
02-Mar-2023,26,9,38,40,43,1,SFL5,Excalibur 6,414
27-Feb-2023,34,23,45,28,46,1,SFL5,Excalibur 6,413
23-Feb-2023,6,1,40,30,29,4,SFL4,Excalibur 6,412
20-Feb-2023,38,17,31,22,12,3,SFL4,Excalibur 6,411
16-Feb-2023,25,28,30,10,2,2,SFL3,Excalibur 5,410
13-Feb-2023,6,18,4,17,9,3,SFL2,Excalibur 5,409
09-Feb-2023,17,21,4,34,16,6,SFL1,Excalibur 5,408
06-Feb-2023,14,44,22,32,18,1,SFL1,Excalibur 6,407
02-Feb-2023,25,10,9,5,41,7,SFL3,Excalibur 6,406
30-Jan-2023,19,15,22,16,25,6,SFL3,Excalibur 6,405
26-Jan-2023,28,2,34,30,13,4,SFL2,Excalibur 6,404
