DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Thunderball,Ball Set,Machine,DrawNumber
01-Jan-2020,39,37,4,38,6,13,T10,Excalibur 6,2575
31-Dec-2019,38,26,4,11,8,13,T10,Excalibur 6,2574
28-Dec-2019,34,29,33,22,31,2,T9,Excalibur 6,2573
27-Dec-2019,34,39,24,27,9,3,T9,Excalibur 6,2572
25-Dec-2019,8,27,18,21,9,9,T9,Excalibur 6,2571
24-Dec-2019,8,33,34,35,1,10,T9,Excalibur 6,2570
21-Dec-2019,11,18,10,36,24,10,T11,Excalibur 5,2569
20-Dec-2019,29,39,10,7,23,5,T11,Excalibur 5,2568
18-Dec-2019,17,23,16,4,6,11,T11,Excalibur 5,2567
17-Dec-2019,24,37,2,32,7,1,T11,Excalibur 5,2566
14-Dec-2019,31,19,20,4,27,6,T10,Excalibur 5,2565
13-Dec-2019,2,25,14,31,34,9,T10,Excalibur 5,2564
11-Dec-2019,23,10,6,34,7,2,T10,Excalibur 5,2563
10-Dec-2019,9,32,27,1,16,7,T10,Excalibur 5,2562
07-Dec-2019,24,26,28,23,15,12,T9,Excalibur 3,2561
06-Dec-2019,35,9,6,36,26,8,T9,Excalibur 3,2560
04-Dec-2019,27,39,18,17,34,2,T9,Excalibur 3,2559
03-Dec-2019,23,17,24,11,32,10,T9,Excalibur 3,2558
30-Nov-2019,5,18,3,31,36,8,T11,Excalibur 2,2557
29-Nov-2019,33,13,18,9,12,8,T11,Excalibur 2,2556
27-Nov-2019,3,7,38,19,32,1,T11,Excalibur 2,2555
26-Nov-2019,21,36,20,4,5,8,T11,Excalibur 2,2554
23-Nov-2019,14,8,10,20,31,8,T10,Excalibur 2,2553
22-Nov-2019,12,20,27,30,1,14,T10,Excalibur 2,2552
20-Nov-2019,25,30,35,15,6,6,T10,Excalibur 2,2551
19-Nov-2019,11,4,29,34,35,2,T10,Excalibur 2,2550
16-Nov-2019,1,29,19,4,17,10,T9,Excalibur 3,2549
15-Nov-2019,39,28,17,32,16,13,T9,Excalibur 3,2548
13-Nov-2019,14,16,33,2,30,5,T9,Excalibur 3,2547
12-Nov-2019,10,30,29,28,35,9,T5,Excalibur 3,2546
09-Nov-2019,5,18,13,35,7,11,T8,Excalibur 3,2545
08-Nov-2019,22,28,18,19,38,1,T8,Excalibur 3,2544
06-Nov-2019,17,10,34,14,25,8,T8,Excalibur 3,2543
05-Nov-2019,20,32,37,17,14,13,T8,Excalibur 3,2542
02-Nov-2019,30,21,14,5,23,3,T7,Excalibur 2,2541
01-Nov-2019,30,31,14,12,39,4,T7,Excalibur 2,2540
30-Oct-2019,36,15,1,6,34,4,T7,Excalibur 2,2539
29-Oct-2019,3,28,36,33,34,2,T7,Excalibur 2,2538
26-Oct-2019,31,19,11,1,20,1,T6,Excalibur 2,2537
25-Oct-2019,17,35,33,7,30,1,T6,Excalibur 2,2536
23-Oct-2019,9,10,29,18,28,4,T6,Excalibur 2,2535
22-Oct-2019,7,4,23,20,27,8,T6,Excalibur 2,2534
19-Oct-2019,4,1,37,28,25,14,T5,Excalibur 3,2533
18-Oct-2019,16,14,17,4,27,7,T5,Excalibur 3,2532
16-Oct-2019,35,33,18,12,3,13,T5,Excalibur 3,2531
15-Oct-2019,28,13,3,38,27,2,T5,Excalibur 3,2530
12-Oct-2019,5,26,21,38,8,1,T8,Excalibur 3,2529
11-Oct-2019,4,13,8,23,11,2,T8,Excalibur 3,2528
09-Oct-2019,33,18,24,28,20,3,T8,Excalibur 3,2527
08-Oct-2019,13,11,26,12,29,10,T8,Excalibur 3,2526
05-Oct-2019,29,28,23,1,16,14,T7,Excalibur 2,2525
04-Oct-2019,33,6,12,25,39,1,T7,Excalibur 2,2524
02-Oct-2019,31,29,4,35,27,3,T7,Excalibur 2,2523
01-Oct-2019,9,39,5,21,11,14,T7,Excalibur 2,2522
28-Sep-2019,8,4,12,28,37,14,T6,Excalibur 2,2521
